duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
4.45,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.48,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.55,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
4.62,2013-08-29,2013,08,29,3,Palo Alto,Palo Alto,Customer
4.63,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.73,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.73,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.78,2013-08-29,2013,08,29,3,Mountain View,Mountain View,Customer
4.8,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
4.82,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.85,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
4.87,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
4.88,2013-08-29,2013,08,29,3,Palo Alto,Palo Alto,Subscriber
4.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
4.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.08,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.12,2013-08-29,2013,08,29,3,Palo Alto,Palo Alto,Subscriber
5.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
5.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
5.25,2013-08-29,2013,08,29,3,Redwood City,Redwood City,Subscriber
5.27,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
5.3,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.32,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
5.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.38,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.38,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
5.38,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.45,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
5.45,2013-08-29,2013,08,29,3,Palo Alto,Palo Alto,Subscriber
5.53,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.58,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.58,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.6,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
5.62,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
5.62,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.67,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.67,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.72,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.72,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
5.77,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
5.77,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.78,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.8,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.85,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.88,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
5.92,2013-08-29,2013,08,29,3,Redwood City,Redwood City,Subscriber
5.92,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.0,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.0,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.02,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.03,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.03,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.05,2013-08-29,2013,08,29,3,San Jose,San Jose,Customer
6.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.15,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.17,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.23,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.25,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.25,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
6.27,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
6.27,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
